time_step,agent_id,x,y
0,200000,353749.69,5643080.76
0,200001,353750.08,5642931.81
0,200002,353752.59,5643352.069999999
0,200003,353755.04,5643144.17
0,200004,353768.62,5643917.609999999
0,200005,353769.11,5643982.97
0,200006,353771.13,5643938.359999999
0,200007,353786.46,5643660.96
0,200008,353786.65,5644509.91
0,200009,353791.35,5644035.08
0,200010,353791.7,5643162.49
0,200011,353792.65,5643977.58
0,200012,353793.74,5643163.399999999
0,200013,353794.37,5643980.609999999
0,200014,353794.98,5643166.859999999
0,200015,353796.09,5643165.6899999995
0,200016,353797.1,5643164.26
0,200017,353798.92,5643989.13
0,200018,353799.92,5643168.68
0,200019,353802.03,5643997.4399999995
0,200020,353809.75,5644013.39
0,200021,353811.18,5644308.41
0,200022,353812.18,5644397.42
0,200023,353812.8,5644018.03
0,200024,353818.85,5645483.85
0,200025,353823.48,5644186.49
0,200026,353823.57,5645983.49
0,200027,353824.14,5645621.72
0,200028,353825.36,5642994.58
0,200029,353830.58,5645682.63
0,200030,353836.52,5643296.79
0,200031,353843.72000000003,5643967.899999999
0,200032,353844.06,5645876.399999999
0,200033,353844.19,5643292.78
0,200034,353844.59,5646568.859999999
0,200035,353845.18,5646183.51
0,200036,353845.27,5646600.51
0,200037,353847.61,5646172.12
0,200038,353847.63,5645881.5
0,200039,353849.65,5646639.21
0,200040,353849.87,5646639.54
0,200041,353852.07,5646611.64
0,200042,353852.32,5646178.75
0,200043,353854.71,5646477.04
0,200044,353855.76,5644330.06
0,200045,353859.67,5645665.54
0,200046,353860.07,5643692.87
0,200047,353861.27,5644333.74
0,200048,353861.31,5642952.96
0,200049,353861.87,5644835.83
0,200050,353862.52,5643201.6899999995
0,200051,353863.65,5643201.39
0,200052,353863.74,5644336.03
0,200053,353865.34,5643204.46
0,200054,353865.68,5644336.93
0,200055,353865.95,5643952.399999999
0,200056,353867.57,5643205.41
0,200057,353871.72000000003,5643389.43
0,200058,353873.94,5646466.92
0,200059,353875.69,5643391.79
0,200060,353875.95,5644851.58
0,200061,353877.29,5646773.7
0,200062,353878.31,5643393.95
0,200063,353879.62,5643394.21
0,200064,353891.1,5644132.59
0,200065,353891.94,5644160.1
0,200066,353894.23,5646116.02
0,200067,353894.23,5646877.74
0,200068,353895.27,5643952.17
0,200069,353896.08,5644157.859999999
0,200070,353897.82,5644158.81
0,200071,353899.45,5646759.37
0,200072,353900.53,5646757.72
0,200073,353901.61,5644136.42
0,200074,353902.61,5643310.04
0,200075,353903.06,5643059.84
0,200076,353905.45,5646722.67
0,200077,353906.48,5646952.109999999
0,200078,353908.51,5644116.7299999995
0,200079,353908.67,5644117.92
0,200080,353909.76,5646139.67
0,200081,353913.3,5644145.03
0,200082,353915.09,5646965.649999999
0,200083,353918.17,5643789.47
0,200084,353918.99,5645836.56
0,200085,353919.95,5645835.68
0,200086,353923.21,5645834.93
0,200087,353923.67,5646744.56
0,200088,353925.28,5644155.109999999
0,200089,353925.92,5643234.609999999
0,200090,353927.14,5645833.52
0,200091,353928.44,5644136.26
0,200092,353929.24,5643237.02
0,200093,353930.28,5643235.05
0,200094,353932.63,5646935.43
0,200095,353932.81,5646561.64
0,200096,353933.0,5645550.88
0,200097,353936.27,5646736.35
0,200098,353937.79,5646125.43
0,200099,353938.11,5643723.43
0,200100,353938.81,5646739.87
0,200101,353939.42,5644130.81
0,200102,353942.33,5646733.51
0,200103,353942.66,5646950.24
0,200104,353949.53,5643098.74
0,200105,353956.78,5643008.45
0,200106,353960.03,5644713.09
0,200107,353962.74,5644065.76
0,200108,353964.78,5644150.97
0,200109,353965.71,5645604.97
0,200110,353974.42,5645805.83
0,200111,353975.41,5646401.21
0,200112,353979.37,5646825.649999999
0,200113,353979.7,5645803.52
0,200114,353981.75,5645803.14
0,200115,353981.87,5645802.99
0,200116,353982.18,5646088.78
0,200117,353984.38,5644478.76
0,200118,353984.81,5643263.2
0,200119,353986.27,5644541.46
0,200120,353987.75,5643265.72
0,200121,353988.08,5644641.2299999995
0,200122,353988.64,5643995.4799999995
0,200123,353989.49,5644709.04
0,200124,353990.59,5644760.02
0,200125,353991.82,5643268.87
0,200126,353992.18,5644830.1899999995
0,200127,353992.3,5646081.6
0,200128,353994.24,5646816.96
0,200129,353994.27,5644398.3
0,200130,353996.23,5644399.12
0,200131,353998.76,5644861.89
0,200132,353999.08,5644401.59
0,200133,354001.57,5643960.25
0,200134,354002.62,5643611.47
0,200135,354002.81,5644852.78
0,200136,354004.21,5644404.78
0,200137,354004.26,5644829.71
0,200138,354009.0,5645023.5
0,200139,354010.0,5643148.37
0,200140,354010.12,5646689.34
0,200141,354014.69,5646687.43
0,200142,354015.96,5646881.67
0,200143,354018.03,5646686.59
0,200144,354019.12,5646685.609999999
0,200145,354022.67,5642943.56
0,200146,354022.68,5646495.649999999
0,200147,354029.48,5645120.55
0,200148,354031.79,5646363.9799999995
0,200149,354031.98,5645338.58
0,200150,354033.69,5645337.25
0,200151,354038.62,5646359.16
0,200152,354038.77,5646880.09
0,200153,354041.27,5643838.52
0,200154,354043.33,5642924.9799999995
0,200155,354043.48,5644154.89
0,200156,354043.54,5645338.399999999
0,200157,354045.17,5644154.45
0,200158,354046.97000000003,5645234.0
0,200159,354048.38,5646041.42
0,200160,354048.52,5645319.4799999995
0,200161,354048.7,5644154.77
0,200162,354048.81,5645321.2299999995
0,200163,354048.89,5645339.109999999
0,200164,354049.39,5645755.06
0,200165,354049.66,5643459.58
0,200166,354050.03,5645348.84
0,200167,354050.04,5646665.39
0,200168,354051.94,5645754.27
0,200169,354052.03,5644147.75
0,200170,354052.25,5643460.41
0,200171,354052.41,5644827.17
0,200172,354052.79,5645325.9799999995
0,200173,354054.99,5643462.74
0,200174,354055.17,5643101.9799999995
0,200175,354055.7,5645323.78
0,200176,354055.94,5645752.3
0,200177,354056.09,5646939.59
0,200178,354056.47000000003,5644154.95
0,200179,354056.74,5643189.53
0,200180,354057.57,5643464.62
0,200181,354060.35,5643465.58
0,200182,354061.02,5646398.76
0,200183,354062.71,5644541.0
0,200184,354065.21,5644100.569999999
0,200185,354066.55,5646335.8
0,200186,354067.76,5644094.91
0,200187,354068.82,5646772.4399999995
0,200188,354069.66,5644092.22
0,200189,354070.29,5645541.66
0,200190,354070.3,5644089.63
0,200191,354081.72000000003,5644857.31
0,200192,354082.06,5644472.16
0,200193,354083.07,5643391.6
0,200194,354083.64,5646426.55
0,200195,354085.41,5644831.2299999995
0,200196,354087.03,5644032.38
0,200197,354087.03,5644840.109999999
0,200198,354089.64,5644026.89
0,200199,354090.35,5644952.1
0,200200,354091.43,5644024.12
0,200201,354091.87,5643954.25
0,200202,354092.14,5644021.33
0,200203,354095.99,5645016.819999999
0,200204,354097.22000000003,5644954.069999999
0,200205,354097.65,5646635.72
0,200206,354099.99,5643326.899999999
0,200207,354102.41,5643327.89
0,200208,354104.86,5643330.359999999
0,200209,354106.96,5646572.92
0,200210,354107.4,5643325.81
0,200211,354108.49,5643960.93
0,200212,354109.09,5643958.45
0,200213,354110.01,5646146.14
0,200214,354110.25,5643333.7299999995
0,200215,354110.58,5643333.67
0,200216,354111.27,5643954.39
0,200217,354111.77,5646292.96
0,200218,354111.88,5646569.91
0,200219,354112.77,5645125.1
0,200220,354112.81,5645996.7
0,200221,354113.06,5643951.91
0,200222,354113.64,5643949.4799999995
0,200223,354113.84,5646571.05
0,200224,354116.61,5646622.92
0,200225,354119.1,5646600.3
0,200226,354120.09,5646282.27
0,200227,354123.4,5643031.56
0,200228,354127.77,5646611.41
0,200229,354133.51,5645268.17
0,200230,354134.6,5643887.06
0,200231,354135.17,5644705.89
0,200232,354135.26,5643884.34
0,200233,354137.32,5643881.33
0,200234,354139.26,5643878.31
0,200235,354140.02,5643875.4399999995
0,200236,354141.21,5644745.4799999995
0,200237,354141.42,5644823.12
0,200238,354142.43,5646608.76
0,200239,354143.29,5645684.37
0,200240,354143.87,5646455.21
0,200241,354145.06,5644384.56
0,200242,354146.9,5645682.7299999995
0,200243,354147.7,5644541.59
0,200244,354150.18,5645681.359999999
0,200245,354152.39,5645679.45
0,200246,354154.52,5644845.149999999
0,200247,354156.0,5644813.54
0,200248,354157.89,5644476.72
0,200249,354158.75,5645242.21
0,200250,354159.35,5644166.27
0,200251,354162.7,5644478.14
0,200252,354163.47000000003,5644168.109999999
0,200253,354163.83,5646238.42
0,200254,354164.39,5644494.58
0,200255,354166.09,5643070.359999999
0,200256,354166.43,5644481.069999999
0,200257,354167.31,5644169.8
0,200258,354168.21,5646244.28
0,200259,354168.37,5643254.41
0,200260,354168.66,5645108.1899999995
0,200261,354170.44,5646349.54
0,200262,354170.59,5644481.92
0,200263,354171.31,5644527.7299999995
0,200264,354171.72000000003,5644541.81
0,200265,354171.85,5644573.9799999995
0,200266,354172.3,5646576.1899999995
0,200267,354172.81,5644707.53
0,200268,354175.22000000003,5644789.14
0,200269,354175.39,5644812.46
0,200270,354177.1,5644487.55
0,200271,354177.63,5644471.7299999995
0,200272,354178.08,5644484.88
0,200273,354179.11,5644909.92
0,200274,354179.55,5646949.28
0,200275,354179.93,5644916.24
0,200276,354182.07,5646473.47
0,200277,354182.72000000003,5646701.649999999
0,200278,354184.22000000003,5644832.18
0,200279,354185.27,5644945.54
0,200280,354186.74,5644502.0
0,200281,354187.13,5646101.43
0,200282,354187.25,5644571.3
0,200283,354188.11,5644486.45
0,200284,354189.77,5644688.569999999
0,200285,354191.27,5646581.069999999
0,200286,354191.67,5644771.24
0,200287,354192.15,5644811.04
0,200288,354192.28,5645468.62
0,200289,354192.94,5646580.84
0,200290,354193.65,5646574.79
0,200291,354196.03,5645227.78
0,200292,354198.06,5644923.51
0,200293,354199.54,5646569.92
0,200294,354202.0,5644407.02
0,200295,354208.61,5644967.3
0,200296,354208.61,5645930.4799999995
0,200297,354214.85,5646586.18
0,200298,354215.78,5643995.55
0,200299,354216.39,5642929.68
0,200300,354217.48,5646585.96
0,200301,354218.1,5644179.68
0,200302,354220.7,5645196.39
0,200303,354222.06,5644181.399999999
0,200304,354222.62,5644904.79
0,200305,354225.04,5646768.51
0,200306,354225.05,5645097.16
0,200307,354225.31,5645205.319999999
0,200308,354226.28,5644183.2299999995
0,200309,354231.46,5645756.4399999995
0,200310,354231.87,5643957.59
0,200311,354232.45,5645200.96
0,200312,354233.82,5646534.87
0,200313,354235.98,5645075.22
0,200314,354239.42,5644870.49
0,200315,354240.21,5646165.27
0,200316,354241.86,5645156.16
0,200317,354242.21,5645553.21
0,200318,354246.6,5644818.399999999
0,200319,354249.97000000003,5646174.56
0,200320,354250.75,5643931.7
0,200321,354252.39,5646637.2299999995
0,200322,354252.43,5644838.96
0,200323,354253.16,5646597.66
0,200324,354253.19,5645178.33
0,200325,354254.61,5645182.01
0,200326,354254.67,5646816.069999999
0,200327,354254.75,5646598.59
0,200328,354255.69,5645185.859999999
0,200329,354256.93,5643522.33
0,200330,354257.41,5645216.06
0,200331,354258.25,5646602.17
0,200332,354258.82,5643152.29
0,200333,354258.92,5643935.74
0,200334,354259.67,5645180.22
0,200335,354259.69,5643522.85
0,200336,354259.84,5643530.39
0,200337,354259.86,5644309.87
0,200338,354260.59,5645273.14
0,200339,354260.92,5643527.45
0,200340,354262.51,5646605.77
0,200341,354262.81,5643524.76
0,200342,354263.09,5646510.02
0,200343,354263.64,5645581.54
0,200344,354263.96,5644245.17
0,200345,354264.12,5644838.06
0,200346,354264.52,5645889.93
0,200347,354264.65,5646347.34
0,200348,354265.27,5643521.83
0,200349,354265.64,5644295.63
0,200350,354266.05,5643526.67
0,200351,354266.21,5643519.109999999
0,200352,354267.08,5645895.99
0,200353,354267.43,5644237.31
0,200354,354267.69,5645578.399999999
0,200355,354267.73,5645253.38
0,200356,354268.9,5642915.37
0,200357,354268.92,5643527.2299999995
0,200358,354270.22000000003,5644817.47
0,200359,354270.27,5645577.14
0,200360,354271.79,5645575.3
0,200361,354272.04,5646842.84
0,200362,354273.05,5646049.819999999
0,200363,354274.2,5644017.45
0,200364,354275.85,5644193.12
0,200365,354278.3,5646515.569999999
0,200366,354282.24,5645920.85
0,200367,354282.82,5645561.26
0,200368,354284.13,5645559.56
0,200369,354286.21,5644195.42
0,200370,354286.38,5645414.2
0,200371,354286.72000000003,5642937.95
0,200372,354286.78,5645558.31
0,200373,354288.25,5643320.149999999
0,200374,354288.59,5645557.56
0,200375,354290.41,5644196.89
0,200376,354292.55,5644191.109999999
0,200377,354293.64,5644198.1
0,200378,354293.73,5646879.54
0,200379,354294.15,5643323.21
0,200380,354294.29,5644205.5
0,200381,354294.87,5646498.85
0,200382,354295.53,5644199.569999999
0,200383,354296.34,5646308.05
0,200384,354296.56,5646505.93
0,200385,354296.68,5646313.74
0,200386,354297.27,5646480.5
0,200387,354299.32,5646827.13
0,200388,354299.56,5644200.39
0,200389,354300.73,5645406.47
0,200390,354301.39,5643423.0
0,200391,354302.05,5646825.55
0,200392,354303.73,5643431.25
0,200393,354303.89,5646895.95
0,200394,354304.18,5643423.819999999
0,200395,354304.88,5643428.47
0,200396,354305.99,5646899.21
0,200397,354306.1,5646518.01
0,200398,354307.08,5643425.85
0,200399,354308.81,5644835.609999999
0,200400,354309.55,5644202.62
0,200401,354309.56,5643423.09
0,200402,354310.05,5643427.99
0,200403,354310.12,5645464.09
0,200404,354310.58,5643420.4799999995
0,200405,354311.82,5645361.33
0,200406,354312.8,5643428.74
0,200407,354313.67,5646910.66
0,200408,354313.9,5645529.109999999
0,200409,354316.27,5645525.41
0,200410,354319.79,5645717.27
0,200411,354320.38,5644099.1
0,200412,354321.13,5646137.7299999995
0,200413,354321.33,5645442.47
0,200414,354326.45,5646020.859999999
0,200415,354327.27,5645516.56
0,200416,354331.02,5645434.17
0,200417,354336.03,5644039.05
0,200418,354336.33,5646271.12
0,200419,354336.51,5646268.6899999995
0,200420,354337.14,5646014.84
0,200421,354339.26,5643358.33
0,200422,354340.39,5643355.71
0,200423,354342.15,5646953.43
0,200424,354342.65,5643353.24
0,200425,354343.19,5643227.35
0,200426,354343.58,5645497.1
0,200427,354344.5,5644072.399999999
0,200428,354344.77,5643229.89
0,200429,354345.12,5643350.62
0,200430,354345.46,5645499.25
0,200431,354346.15,5643348.069999999
0,200432,354348.07,5646437.87
0,200433,354349.97000000003,5645509.09
0,200434,354354.56,5645537.33
0,200435,354354.62,5645698.97
0,200436,354357.57,5643971.8
0,200437,354358.51,5645823.99
0,200438,354360.94,5643029.24
0,200439,354363.08,5643033.1899999995
0,200440,354363.31,5643986.33
0,200441,354365.64,5643037.63
0,200442,354365.77,5643551.649999999
0,200443,354367.99,5643553.08
0,200444,354368.46,5646786.51
0,200445,354370.64,5643554.97
0,200446,354371.94,5643555.04
0,200447,354380.94,5645456.39
0,200448,354380.99,5643996.2299999995
0,200449,354381.16,5645676.76
0,200450,354382.89,5643271.51
0,200451,354384.14,5643268.63
0,200452,354384.96,5646224.21
0,200453,354386.76,5643265.609999999
0,200454,354387.38,5645452.91
0,200455,354387.63,5645451.4799999995
0,200456,354389.31,5643262.51
0,200457,354390.5,5643259.58
0,200458,354391.01,5645611.2
0,200459,354391.2,5646108.96
0,200460,354399.13,5645796.399999999
0,200461,354399.83,5645667.24
0,200462,354400.64,5645785.53
0,200463,354400.71,5645795.399999999
0,200464,354402.5,5645788.31
0,200465,354404.23,5645794.26
0,200466,354407.11,5643087.72
0,200467,354407.16,5645798.12
0,200468,354408.68,5645792.67
0,200469,354410.58,5645802.14
0,200470,354411.11,5645791.109999999
0,200471,354411.8,5643471.81
0,200472,354414.33,5643290.7
0,200473,354415.61,5643474.49
0,200474,354416.92,5646854.35
0,200475,354419.1,5643477.38
0,200476,354421.13,5643395.4799999995
0,200477,354421.72000000003,5645783.88
0,200478,354421.9,5646863.069999999
0,200479,354427.03,5646180.56
0,200480,354430.28,5645657.14
0,200481,354431.76,5646170.47
0,200482,354432.47000000003,5646170.92
0,200483,354433.56,5646374.72
0,200484,354433.89,5646175.39
0,200485,354436.3,5646387.85
0,200486,354436.5,5646372.64
0,200487,354437.19,5646379.53
0,200488,354437.25,5643153.67
0,200489,354437.82,5643151.899999999
0,200490,354438.69,5645774.14
0,200491,354439.66,5643127.66
0,200492,354440.32,5646709.74
0,200493,354440.69,5646384.38
0,200494,354442.44,5645538.859999999
0,200495,354442.51,5643131.81
0,200496,354442.77,5645770.89
0,200497,354444.55,5646713.13
0,200498,354447.22000000003,5646715.62
0,200499,354447.24,5645394.31
0,200500,354447.32,5643147.08
0,200501,354448.51,5643130.399999999
0,200502,354448.54,5645769.03
0,200503,354449.87,5643140.27
0,200504,354450.47000000003,5643125.13
0,200505,354452.09,5645876.31
0,200506,354455.58,5643722.24
0,200507,354457.28,5643309.33
0,200508,354457.57,5646080.39
0,200509,354458.54,5643153.06
0,200510,354463.07,5643585.96
0,200511,354465.2,5646372.899999999
0,200512,354465.24,5643693.06
0,200513,354465.43,5645724.359999999
0,200514,354465.47000000003,5643586.05
0,200515,354470.03,5645753.42
0,200516,354470.06,5646223.58
0,200517,354472.47000000003,5643591.09
0,200518,354473.09,5642980.55
0,200519,354473.35,5645754.4799999995
0,200520,354473.46,5645738.92
0,200521,354474.63,5646343.74
0,200522,354478.86,5646238.25
0,200523,354479.11,5642989.16
0,200524,354481.49,5642992.34
0,200525,354484.16,5643688.76
0,200526,354485.71,5642970.55
0,200527,354485.86,5643185.17
0,200528,354485.94,5643633.1
0,200529,354486.51,5645785.62
0,200530,354488.76,5643009.5
0,200531,354488.79,5643009.54
0,200532,354490.94,5643597.71
0,200533,354492.04,5642978.81
0,200534,354493.48,5645770.54
0,200535,354494.33,5643610.79
0,200536,354496.44,5645640.89
0,200537,354496.88,5642987.92
0,200538,354499.45,5642976.069999999
0,200539,354499.97000000003,5642977.16
0,200540,354500.41,5643003.22
0,200541,354503.48,5644795.7299999995
0,200542,354504.45,5646345.2299999995
0,200543,354506.19,5643605.52
0,200544,354511.1,5643535.71
0,200545,354512.89,5644915.319999999
0,200546,354518.69,5646334.45
0,200547,354525.64,5643544.6899999995
0,200548,354526.48,5643548.1
0,200549,354527.05,5643539.45
0,200550,354528.71,5646308.609999999
0,200551,354529.22000000003,5643556.78
0,200552,354529.4,5645840.05
0,200553,354530.31,5643551.45
0,200554,354540.49,5643251.18
0,200555,354541.42,5643480.9399999995
0,200556,354541.8,5645829.88
0,200557,354546.5,5645614.33
0,200558,354547.09,5643625.46
0,200559,354550.57,5645713.14
0,200560,354551.28,5645713.68
0,200561,354553.75,5646942.42
0,200562,354554.36,5646776.33
0,200563,354556.01,5643493.2299999995
0,200564,354556.19,5645712.01
0,200565,354560.1,5643480.16
0,200566,354561.69,5646775.109999999
0,200567,354562.61,5643425.53
0,200568,354566.43,5646784.45
0,200569,354567.36,5645726.05
0,200570,354570.37,5643282.29
0,200571,354572.27,5645039.77
0,200572,354572.55,5644817.6
0,200573,354572.72000000003,5645040.4799999995
0,200574,354573.26,5645039.01
0,200575,354574.53,5644919.319999999
0,200576,354575.0,5646789.54
0,200577,354575.91,5644912.9799999995
0,200578,354576.37,5645699.67
0,200579,354576.53,5644906.9799999995
0,200580,354576.71,5644909.819999999
0,200581,354577.33,5643432.92
0,200582,354578.13,5645698.47
0,200583,354578.64,5646949.1
0,200584,354581.43,5645676.0
0,200585,354582.12,5645679.3
0,200586,354583.37,5645682.88
0,200587,354585.45,5645695.609999999
0,200588,354588.62,5645160.78
0,200589,354592.7,5645892.78
0,200590,354593.07,5645691.95
0,200591,354595.66,5645690.76
0,200592,354596.77,5643121.33
0,200593,354598.74,5646805.7299999995
0,200594,354599.9,5644692.29
0,200595,354600.96,5643323.77
0,200596,354601.1,5646943.7
0,200597,354601.51,5646599.79
0,200598,354601.95,5643360.35
0,200599,354602.23,5646282.83
0,200600,354602.8,5646809.149999999
0,200601,354603.67,5646287.38
0,200602,354603.88,5646808.79
0,200603,354605.53,5646267.12
0,200604,354605.9,5643347.06
0,200605,354607.1,5646259.72
0,200606,354607.41,5643276.54
0,200607,354608.23,5646812.59
0,200608,354610.51,5646486.04
0,200609,354611.97000000003,5646687.1
0,200610,354617.13,5643242.52
0,200611,354618.04,5645923.4799999995
0,200612,354620.63,5645952.42
0,200613,354621.56,5642951.4799999995
0,200614,354624.98,5643639.02
0,200615,354625.72000000003,5645272.88
0,200616,354626.2,5646321.149999999
